team1,team2,score1,score2,odd_team1,oddDraw,odd_team2,time,date
New Zealand,South Africa,21,11,,,,,15 Sep 2012
Australia,South Africa,26,19,,,,,8 Sep 2012
New Zealand,Argentina,21,5,,,,,8 Sep 2012
Argentina,South Africa,16,16,,,,,25 Aou 2012
New Zealand,Australia,22,0,,,,,25 Aou 2012
Australia,New Zealand,19,27,,,,,18 Aou 2012
South Africa,Argentina,27,6,,,,,18 Aou 2012
Argentina,France,10,49,,,,,23 Jui 2012
Australia,Wales,20,19,,,,,23 Jui 2012
South Africa,England,14,14,,,,,23 Jui 2012
New Zealand,Ireland,60,0,,,,,23 Jui 2012
South Africa,England,36,27,,,,,16 Jui 2012
Australia,Wales,25,23,,,,,16 Jui 2012
Argentina,France,23,20,,,,,16 Jui 2012
New Zealand,Ireland,22,19,,,,,16 Jui 2012
Argentina,Italy,37,22,,,,,9 Jui 2012
Australia,Wales,27,19,,,,,9 Jui 2012
South Africa,England,22,17,,,,,9 Jui 2012
New Zealand,Ireland,42,10,,,,,9 Jui 2012
Australia,Scotland,6,9,,,,,5 Jui 2012
England,Ireland,30,9,,,,,17 Mar 2012
Wales,France,16,9,,,,,17 Mar 2012
Italy,Scotland,13,6,,,,,17 Mar 2012
France,England,22,24,,,,,11 Mar 2012
Ireland,Scotland,32,14,,,,,10 Mar 2012
Wales,Italy,24,3,,,,,10 Mar 2012
France,Ireland,17,17,,,,,4 Mar 2012
Scotland,France,17,23,,,,,26 Fev 2012
England,Wales,12,19,,,,,25 Fev 2012
Ireland,Italy,42,10,,,,,25 Fev 2012
Wales,Scotland,27,13,,,,,12 Fev 2012
Italy,England,15,19,,,,,11 Fev 2012
Ireland,Wales,21,23,,,,,5 Fev 2012
Scotland,England,6,13,,,,,4 Fev 2012
France,Italy,30,12,,,,,4 Fev 2012
Wales,Australia,18,24,,,,,3  2011
New Zealand,France,8,7,,,,,23 Oct 2011
Australia,Wales,21,18,,,,,21 Oct 2011
New Zealand,Australia,20,6,,,,,16 Oct 2011
Wales,France,8,9,,,,,15 Oct 2011
South Africa,Australia,9,11,,,,,9 Oct 2011
New Zealand,Argentina,33,10,,,,,9 Oct 2011
France,England,19,12,,,,,8 Oct 2011
Wales,Ireland,22,10,,,,,8 Oct 2011
Ireland,Italy,36,6,,,,,2 Oct 2011
England,Scotland,16,12,,,,,1 Oct 2011
Argentina,Scotland,13,12,,,,,25 Sep 2011
New Zealand,France,37,17,,,,,24 Sep 2011
Ireland,Australia,15,6,,,,,17 Sep 2011
South Africa,Wales,17,16,,,,,11 Sep 2011
Australia,Italy,32,6,,,,,11 Sep 2011
England,Argentina,13,9,,,,,10 Sep 2011
Australia,New Zealand,25,20,,,,,27 Aou 2011
Ireland,England,9,20,,,,,27 Aou 2011
Ireland,France,22,26,,,,,20 Aou 2011
Wales,Argentina,28,13,,,,,20 Aou 2011
Scotland,Italy,23,12,,,,,20 Aou 2011
South Africa,New Zealand,18,5,,,,,20 Aou 2011
South Africa,Australia,9,14,,,,,13 Aou 2011
France,Ireland,19,12,,,,,13 Aou 2011
Wales,England,19,9,,,,,13 Aou 2011
England,Wales,23,19,,,,,6 Aou 2011
New Zealand,Australia,30,14,,,,,6 Aou 2011
Scotland,Ireland,10,6,,,,,6 Aou 2011
New Zealand,South Africa,40,7,,,,,30 Jul 2011
Australia,South Africa,39,20,,,,,23 Jul 2011
France,Wales,28,9,,,,,19 Mar 2011
Scotland,Italy,21,8,,,,,19 Mar 2011
Ireland,England,24,8,,,,,19 Mar 2011
England,Scotland,22,16,,,,,13 Mar 2011
Italy,France,22,21,,,,,12 Mar 2011
Wales,Ireland,19,13,,,,,12 Mar 2011
Scotland,Ireland,18,21,,,,,27 Fev 2011
Italy,Wales,16,24,,,,,26 Fev 2011
England,France,17,9,,,,,26 Fev 2011
Ireland,France,22,25,,,,,13 Fev 2011
Scotland,Wales,6,24,,,,,12 Fev 2011
England,Italy,59,13,,,,,12 Fev 2011
France,Scotland,34,21,,,,,5 Fev 2011
Italy,Ireland,11,13,,,,,5 Fev 2011
Wales,England,19,26,,,,,4 Fev 2011
Ireland,Argentina,29,9,,,,,28 Nov 2010
France,Australia,16,59,,,,,27 Nov 2010
Wales,New Zealand,25,37,,,,,27 Nov 2010
England,South Africa,11,21,,,,,27 Nov 2010
Ireland,New Zealand,18,38,,,,,20 Nov 2010
Italy,Australia,14,32,,,,,20 Nov 2010
Scotland,South Africa,21,17,,,,,20 Nov 2010
France,Argentina,15,9,,,,,20 Nov 2010
Scotland,New Zealand,3,49,,,,,13 Nov 2010
Wales,South Africa,25,29,,,,,13 Nov 2010
Italy,Argentina,16,22,,,,,13 Nov 2010
England,Australia,35,18,,,,,13 Nov 2010
England,New Zealand,16,26,,,,,6 Nov 2010
Wales,Australia,16,25,,,,,6 Nov 2010
Ireland,South Africa,21,23,,,,,6 Nov 2010
Australia,New Zealand,26,24,,,,,30 Oct 2010
Australia,New Zealand,22,23,,,,,11 Sep 2010
South Africa,Australia,39,41,,,,,4 Sep 2010
South Africa,Australia,44,31,,,,,28 Aou 2010
South Africa,New Zealand,22,29,,,,,21 Aou 2010
New Zealand,Australia,20,10,,,,,7 Aou 2010
Australia,New Zealand,28,49,,,,,31 Jul 2010
Australia,South Africa,30,13,,,,,24 Jul 2010
New Zealand,South Africa,31,17,,,,,17 Jul 2010
New Zealand,South Africa,32,12,,,,,10 Jul 2010
Australia,Ireland,22,15,,,,,26 Jui 2010
Argentina,France,41,13,,,,,26 Jui 2010
South Africa,Italy,55,11,,,,,26 Jui 2010
New Zealand,Wales,29,10,,,,,26 Jui 2010
Australia,England,20,21,,,,,19 Jui 2010
Argentina,Scotland,9,13,,,,,19 Jui 2010
South Africa,Italy,29,13,,,,,19 Jui 2010
New Zealand,Wales,42,9,,,,,19 Jui 2010
New Zealand,Ireland,66,28,,,,,12 Jui 2010
Argentina,Scotland,16,24,,,,,12 Jui 2010
South Africa,France,42,17,,,,,12 Jui 2010
Australia,England,27,17,,,,,12 Jui 2010
Wales,South Africa,31,34,,,,,5 Jui 2010
Ireland,Scotland,20,23,,,,,20 Mar 2010
Wales,Italy,33,10,,,,,20 Mar 2010
France,England,12,10,,,,,20 Mar 2010
France,Italy,46,20,,,,,14 Mar 2010
Scotland,England,15,15,,,,,13 Mar 2010
Ireland,Wales,27,12,,,,,13 Mar 2010
England,Ireland,16,20,,,,,27 Fev 2010
Italy,Scotland,16,12,,,,,27 Fev 2010
Wales,France,20,26,,,,,26 Fev 2010
Italy,England,12,17,,,,,14 Fev 2010
Wales,Scotland,31,24,,,,,13 Fev 2010
France,Ireland,33,10,,,,,13 Fev 2010
Scotland,France,9,18,,,,,7 Fev 2010
England,Wales,30,17,,,,,6 Fev 2010
Ireland,Italy,29,11,,,,,6 Fev 2010
France,New Zealand,12,39,,,,,28 Nov 2009
Wales,Australia,12,33,,,,,28 Nov 2009
Ireland,South Africa,15,10,,,,,28 Nov 2009
Scotland,Argentina,6,9,,,,,28 Nov 2009
Italy,South Africa,10,32,,,,,21 Nov 2009
England,New Zealand,6,19,,,,,21 Nov 2009
Wales,Argentina,33,16,,,,,21 Nov 2009
Scotland,Australia,9,8,,,,,21 Nov 2009
Ireland,Australia,20,20,,,,,15 Nov 2009
Italy,New Zealand,6,20,,,,,14 Nov 2009
England,Argentina,16,9,,,,,14 Nov 2009
France,South Africa,20,13,,,,,13 Nov 2009
Wales,New Zealand,12,19,,,,,7 Nov 2009
England,Australia,9,18,,,,,7 Nov 2009
New Zealand,Australia,32,19,,,,,31 Oct 2009
New Zealand,Australia,33,6,,,,,19 Sep 2009
New Zealand,South Africa,29,32,,,,,12 Sep 2009
Australia,South Africa,21,6,,,,,5 Sep 2009
Australia,South Africa,25,32,,,,,29 Aou 2009
Australia,New Zealand,18,19,,,,,22 Aou 2009
South Africa,Australia,29,17,,,,,8 Aou 2009
South Africa,New Zealand,31,19,,,,,1 Aou 2009
South Africa,New Zealand,28,19,,,,,25 Jul 2009
New Zealand,Australia,22,16,,,,,18 Jul 2009
New Zealand,Italy,27,6,,,,,27 Jui 2009
Australia,France,22,6,,,,,27 Jui 2009
Australia,Italy,34,12,,,,,20 Jui 2009
New Zealand,France,14,10,,,,,20 Jui 2009
New Zealand,France,22,27,,,,,13 Jui 2009
Argentina,England,24,22,,,,,13 Jui 2009
Australia,Italy,31,8,,,,,13 Jui 2009
England,Argentina,37,15,,,,,6 Jui 2009
Italy,France,8,50,,,,,21 Mar 2009
Wales,Ireland,15,17,,,,,21 Mar 2009
England,Scotland,26,12,,,,,21 Mar 2009
England,France,34,10,,,,,15 Mar 2009
Scotland,Ireland,15,22,,,,,14 Mar 2009
Italy,Wales,15,20,,,,,14 Mar 2009
Ireland,England,14,13,,,,,28 Fev 2009
Scotland,Italy,26,6,,,,,28 Fev 2009
France,Wales,21,16,,,,,27 Fev 2009
Italy,Ireland,9,38,,,,,15 Fev 2009
Wales,England,23,15,,,,,14 Fev 2009
France,Scotland,22,13,,,,,14 Fev 2009
Scotland,Wales,13,26,,,,,8 Fev 2009
Ireland,France,30,21,,,,,7 Fev 2009
England,Italy,36,11,,,,,7 Fev 2009
England,New Zealand,6,32,,,,,29 Nov 2008
Wales,Australia,21,18,,,,,29 Nov 2008
England,South Africa,6,42,,,,,22 Nov 2008
Wales,New Zealand,9,29,,,,,22 Nov 2008
France,Australia,13,18,,,,,22 Nov 2008
Ireland,Argentina,17,3,,,,,22 Nov 2008
England,Australia,14,28,,,,,15 Nov 2008
Ireland,New Zealand,3,22,,,,,15 Nov 2008
Italy,Argentina,14,22,,,,,15 Nov 2008
Scotland,South Africa,10,14,,,,,15 Nov 2008
Scotland,New Zealand,6,32,,,,,8 Nov 2008
Italy,Australia,20,30,,,,,8 Nov 2008
Wales,South Africa,15,20,,,,,8 Nov 2008
France,Argentina,12,6,,,,,8 Nov 2008
New Zealand,Australia,19,14,,,,,1 Nov 2008
Australia,New Zealand,24,28,,,,,13 Sep 2008
South Africa,Australia,53,8,,,,,30 Aou 2008
South Africa,Australia,15,27,,,,,23 Aou 2008
South Africa,New Zealand,0,19,,,,,16 Aou 2008
South Africa,Argentina,63,9,,,,,9 Aou 2008
New Zealand,Australia,39,10,,,,,2 Aou 2008
Australia,New Zealand,34,19,,,,,26 Jul 2008
Australia,South Africa,16,9,,,,,19 Jul 2008
New Zealand,South Africa,28,30,,,,,12 Jul 2008
Australia,France,40,10,,,,,5 Jul 2008
New Zealand,South Africa,19,8,,,,,5 Jul 2008
Argentina,Italy,12,13,,,,,28 Jui 2008
Australia,France,34,13,,,,,28 Jui 2008
New Zealand,England,44,12,,,,,21 Jui 2008
South Africa,Italy,26,0,,,,,21 Jui 2008
Argentina,Scotland,14,26,,,,,14 Jui 2008
South Africa,Wales,37,21,,,,,14 Jui 2008
New Zealand,England,37,20,,,,,14 Jui 2008
Australia,Ireland,18,12,,,,,14 Jui 2008
South Africa,Wales,43,17,,,,,7 Jui 2008
Argentina,Scotland,21,15,,,,,7 Jui 2008
New Zealand,Ireland,21,11,,,,,7 Jui 2008
Italy,Scotland,23,20,,,,,15 Mar 2008
Wales,France,29,12,,,,,15 Mar 2008
England,Ireland,33,10,,,,,15 Mar 2008
France,Italy,25,13,,,,,9 Mar 2008
Ireland,Wales,12,16,,,,,8 Mar 2008
Scotland,England,15,9,,,,,8 Mar 2008
France,England,13,24,,,,,23 Fev 2008
Ireland,Scotland,34,13,,,,,23 Fev 2008
Wales,Italy,47,8,,,,,23 Fev 2008
Italy,England,19,23,,,,,10 Fev 2008
France,Ireland,26,21,,,,,9 Fev 2008
Wales,Scotland,30,15,,,,,9 Fev 2008
Scotland,France,6,27,,,,,3 Fev 2008
England,Wales,19,26,,,,,2 Fev 2008
Ireland,Italy,16,11,,,,,2 Fev 2008
Wales,South Africa,12,34,,,,,24 Nov 2007
England,South Africa,6,15,,,,,20 Oct 2007
France,Argentina,10,34,,,,,19 Oct 2007
Argentina,South Africa,13,37,,,,,14 Oct 2007
France,England,9,14,,,,,13 Oct 2007
Argentina,Scotland,19,13,,,,,7 Oct 2007
New Zealand,France,18,20,,,,,6 Oct 2007
Australia,England,10,12,,,,,6 Oct 2007
Argentina,Ireland,30,15,,,,,30 Sep 2007
Scotland,Italy,18,16,,,,,29 Sep 2007
Scotland,New Zealand,0,40,,,,,23 Sep 2007
France,Ireland,25,3,,,,,21 Sep 2007
Wales,Australia,20,32,,,,,15 Sep 2007
England,South Africa,0,36,,,,,14 Sep 2007
New Zealand,Italy,76,14,,,,,8 Sep 2007
France,Argentina,12,17,,,,,7 Sep 2007
Wales,France,7,34,,,,,26 Aou 2007
Scotland,South Africa,3,27,,,,,25 Aou 2007
Ireland,Italy,23,20,,,,,24 Aou 2007
Wales,Argentina,27,20,,,,,18 Aou 2007
France,England,22,9,,,,,18 Aou 2007
Scotland,Ireland,31,21,,,,,11 Aou 2007
England,France,15,21,,,,,11 Aou 2007
England,Wales,62,5,,,,,4 Aou 2007
New Zealand,Australia,26,12,,,,,21 Jul 2007
New Zealand,South Africa,33,6,,,,,14 Jul 2007
Australia,South Africa,25,17,,,,,7 Jul 2007
Australia,New Zealand,20,15,,,,,30 Jui 2007
South Africa,New Zealand,21,26,,,,,23 Jui 2007
South Africa,Australia,22,19,,,,,16 Jui 2007
New Zealand,France,61,10,,,,,9 Jui 2007
Argentina,Italy,24,6,,,,,9 Jui 2007
South Africa,England,55,22,,,,,2 Jui 2007
New Zealand,France,42,11,,,,,2 Jui 2007
Australia,Wales,31,0,,,,,2 Jui 2007
Argentina,Ireland,16,0,,,,,2 Jui 2007
Australia,Wales,29,23,,,,,26 Mai 2007
Argentina,Ireland,22,20,,,,,26 Mai 2007
South Africa,England,58,10,,,,,26 Mai 2007
Italy,Ireland,24,51,,,,,17 Mar 2007
France,Scotland,46,19,,,,,17 Mar 2007
Wales,England,27,18,,,,,17 Mar 2007
England,France,26,18,,,,,11 Mar 2007
Italy,Wales,23,20,,,,,10 Mar 2007
Scotland,Ireland,18,19,,,,,10 Mar 2007
Scotland,Italy,17,37,,,,,24 Fev 2007
France,Wales,32,21,,,,,24 Fev 2007
Ireland,England,43,13,,,,,24 Fev 2007
Ireland,France,17,20,,,,,11 Fev 2007
Scotland,Wales,21,9,,,,,10 Fev 2007
England,Italy,20,7,,,,,10 Fev 2007
Wales,Ireland,9,19,,,,,4 Fev 2007
Italy,France,3,39,,,,,3 Fev 2007
England,Scotland,42,20,,,,,3 Fev 2007
Wales,New Zealand,10,45,,,,,25 Nov 2006
Scotland,Australia,15,44,,,,,25 Nov 2006
France,Argentina,27,26,,,,,25 Nov 2006
England,South Africa,14,25,,,,,25 Nov 2006
Ireland,Australia,21,6,,,,,19 Nov 2006
France,New Zealand,11,23,,,,,18 Nov 2006
Italy,Argentina,16,23,,,,,18 Nov 2006
England,South Africa,23,21,,,,,18 Nov 2006
France,New Zealand,3,47,,,,,11 Nov 2006
Italy,Australia,18,25,,,,,11 Nov 2006
England,Argentina,18,25,,,,,11 Nov 2006
Ireland,South Africa,32,15,,,,,11 Nov 2006
England,New Zealand,20,41,,,,,5 Nov 2006
Wales,Australia,29,29,,,,,4 Nov 2006
South Africa,Australia,24,16,,,,,9 Sep 2006
South Africa,New Zealand,21,20,,,,,2 Sep 2006
South Africa,New Zealand,26,45,,,,,26 Aou 2006
New Zealand,Australia,34,27,,,,,19 Aou 2006
Australia,South Africa,20,18,,,,,5 Aou 2006
Australia,New Zealand,9,13,,,,,29 Jul 2006
New Zealand,South Africa,35,17,,,,,22 Jul 2006
Australia,South Africa,49,0,,,,,15 Jul 2006
New Zealand,Australia,32,12,,,,,8 Jul 2006
South Africa,France,26,36,,,,,24 Jui 2006
Argentina,New Zealand,19,25,,,,,24 Jui 2006
Australia,Ireland,37,15,,,,,24 Jui 2006
Argentina,Wales,45,27,,,,,17 Jui 2006
Australia,England,43,18,,,,,17 Jui 2006
New Zealand,Ireland,27,17,,,,,17 Jui 2006
South Africa,Scotland,29,15,,,,,17 Jui 2006
Argentina,Wales,27,25,,,,,11 Jui 2006
Australia,England,34,3,,,,,11 Jui 2006
New Zealand,Ireland,34,23,,,,,10 Jui 2006
South Africa,Scotland,36,16,,,,,10 Jui 2006
England,Ireland,24,28,,,,,18 Mar 2006
Wales,France,16,21,,,,,18 Mar 2006
Italy,Scotland,10,13,,,,,18 Mar 2006
France,England,31,6,,,,,12 Mar 2006
Wales,Italy,18,18,,,,,11 Mar 2006
Ireland,Scotland,15,9,,,,,11 Mar 2006
Ireland,Wales,31,5,,,,,26 Fev 2006
France,Italy,37,12,,,,,25 Fev 2006
Scotland,England,18,12,,,,,25 Fev 2006
Wales,Scotland,28,18,,,,,12 Fev 2006
France,Ireland,43,31,,,,,11 Fev 2006
Italy,England,16,31,,,,,11 Fev 2006
Scotland,France,20,16,,,,,5 Fev 2006
Ireland,Italy,26,16,,,,,4 Fev 2006
England,Wales,47,13,,,,,4 Fev 2006
Scotland,New Zealand,10,29,,,,,26 Nov 2005
Wales,Australia,24,22,,,,,26 Nov 2005
France,South Africa,26,20,,,,,26 Nov 2005
Italy,Argentina,22,39,,,,,19 Nov 2005
Wales,South Africa,16,33,,,,,19 Nov 2005
Ireland,Australia,14,30,,,,,19 Nov 2005
England,New Zealand,19,23,,,,,19 Nov 2005
Ireland,New Zealand,7,45,,,,,12 Nov 2005
Scotland,Argentina,19,23,,,,,12 Nov 2005
England,Australia,26,16,,,,,12 Nov 2005
Wales,New Zealand,3,41,,,,,5 Nov 2005
Argentina,South Africa,23,34,,,,,5 Nov 2005
France,Australia,26,16,,,,,5 Nov 2005
New Zealand,Australia,34,24,,,,,3 Sep 2005
New Zealand,South Africa,31,27,,,,,27 Aou 2005
Australia,South Africa,19,22,,,,,20 Aou 2005
Australia,New Zealand,13,30,,,,,13 Aou 2005
South Africa,New Zealand,22,16,,,,,6 Aou 2005
South Africa,Australia,22,16,,,,,30 Jul 2005
South Africa,Australia,33,20,,,,,23 Jul 2005
Australia,South Africa,30,12,,,,,9 Jul 2005
Australia,France,37,31,,,,,2 Jul 2005
Australia,Italy,69,21,,,,,25 Jui 2005
South Africa,France,27,13,,,,,25 Jui 2005
South Africa,France,30,30,,,,,18 Jui 2005
Argentina,Italy,29,30,,,,,17 Jui 2005
Argentina,Italy,35,21,,,,,11 Jui 2005
Italy,France,13,56,,,,,19 Mar 2005
England,Scotland,43,22,,,,,19 Mar 2005
Wales,Ireland,32,20,,,,,19 Mar 2005
Scotland,Wales,22,46,,,,,13 Mar 2005
Ireland,France,19,26,,,,,12 Mar 2005
England,Italy,39,7,,,,,12 Mar 2005
France,Scotland,16,9,,,,,5 Mar 2005
Ireland,England,19,13,,,,,27 Fev 2005
France,Wales,18,24,,,,,26 Fev 2005
Scotland,Italy,18,10,,,,,26 Fev 2005
England,France,17,18,,,,,14 Fev 2005
Scotland,Ireland,13,40,,,,,12 Fev 2005
Italy,Wales,8,38,,,,,12 Fev 2005
Italy,Ireland,17,28,,,,,6 Fev 2005
Wales,England,11,9,,,,,5 Fev 2005
Argentina,South Africa,7,39,,,,,4  2004
Scotland,South Africa,10,45,,,,,27 Nov 2004
France,New Zealand,6,45,,,,,27 Nov 2004
England,Australia,19,21,,,,,27 Nov 2004
Ireland,Argentina,21,19,,,,,27 Nov 2004
Scotland,Australia,17,31,,,,,20 Nov 2004
Wales,New Zealand,25,26,,,,,20 Nov 2004
France,Argentina,14,24,,,,,20 Nov 2004
England,South Africa,32,16,,,,,20 Nov 2004
Italy,New Zealand,10,59,,,,,13 Nov 2004
France,Australia,27,14,,,,,13 Nov 2004
Ireland,South Africa,17,12,,,,,13 Nov 2004
Wales,South Africa,36,38,,,,,6 Nov 2004
Scotland,Australia,14,31,,,,,6 Nov 2004
South Africa,Australia,23,19,,,,,21 Aou 2004
South Africa,New Zealand,40,26,,,,,14 Aou 2004
Australia,New Zealand,23,18,,,,,7 Aou 2004
Australia,South Africa,30,26,,,,,31 Jul 2004
New Zealand,South Africa,23,21,,,,,24 Jul 2004
New Zealand,Australia,16,7,,,,,17 Jul 2004
South Africa,Wales,53,18,,,,,26 Jui 2004
Australia,England,51,15,,,,,26 Jui 2004
New Zealand,Argentina,41,7,,,,,26 Jui 2004
Argentina,Wales,20,35,,,,,19 Jui 2004
South Africa,Ireland,26,17,,,,,19 Jui 2004
Australia,Scotland,34,13,,,,,19 Jui 2004
New Zealand,England,36,12,,,,,19 Jui 2004
Australia,Scotland,35,15,,,,,13 Jui 2004
Argentina,Wales,50,44,,,,,12 Jui 2004
South Africa,Ireland,31,17,,,,,12 Jui 2004
New Zealand,England,36,3,,,,,12 Jui 2004
France,England,24,21,,,,,27 Mar 2004
Ireland,Scotland,37,16,,,,,27 Mar 2004
Wales,Italy,44,10,,,,,27 Mar 2004
Scotland,France,0,31,,,,,21 Mar 2004
England,Wales,31,21,,,,,20 Mar 2004
Ireland,Italy,19,3,,,,,20 Mar 2004
Wales,France,22,29,,,,,7 Mar 2004
England,Ireland,13,19,,,,,6 Mar 2004
Italy,Scotland,20,14,,,,,6 Mar 2004
Ireland,Wales,36,15,,,,,22 Fev 2004
Scotland,England,13,35,,,,,21 Fev 2004
France,Italy,25,0,,,,,21 Fev 2004
Italy,England,9,50,,,,,15 Fev 2004
France,Ireland,35,17,,,,,14 Fev 2004
Wales,Scotland,23,10,,,,,14 Fev 2004
Australia,England,17,20,,,,,22 Nov 2003
New Zealand,France,40,13,,,,,20 Nov 2003
England,France,24,7,,,,,16 Nov 2003
Australia,New Zealand,22,10,,,,,15 Nov 2003
France,Ireland,43,21,,,,,9 Nov 2003
England,Wales,28,17,,,,,9 Nov 2003
New Zealand,South Africa,29,9,,,,,9 Nov 2003
Australia,Scotland,33,16,,,,,8 Nov 2003
New Zealand,Wales,53,37,,,,,2 Nov 2003
Australia,Ireland,17,16,,,,,1 Nov 2003
Ireland,Argentina,16,15,,,,,26 Oct 2003
Italy,Wales,15,27,,,,,25 Oct 2003
France,Scotland,51,9,,,,,25 Oct 2003
England,South Africa,25,6,,,,,18 Oct 2003
New Zealand,Italy,70,7,,,,,11 Oct 2003
Australia,Argentina,24,8,,,,,10 Oct 2003
Scotland,Ireland,10,29,,,,,6 Sep 2003
England,France,45,14,,,,,6 Sep 2003
France,England,17,16,,,,,30 Aou 2003
Wales,Scotland,23,9,,,,,30 Aou 2003
Ireland,Italy,61,6,,,,,30 Aou 2003
Wales,England,9,43,,,,,23 Aou 2003
Scotland,Italy,47,15,,,,,23 Aou 2003
New Zealand,Australia,21,17,,,,,16 Aou 2003
Ireland,Wales,35,12,,,,,16 Aou 2003
New Zealand,South Africa,19,11,,,,,9 Aou 2003
Australia,South Africa,29,9,,,,,2 Aou 2003
Australia,New Zealand,21,50,,,,,26 Jul 2003
South Africa,New Zealand,16,52,,,,,19 Jul 2003
South Africa,Australia,26,22,,,,,12 Jul 2003
South Africa,Argentina,26,25,,,,,28 Jui 2003
New Zealand,France,31,23,,,,,28 Jui 2003
Australia,England,14,25,,,,,21 Jui 2003
New Zealand,Wales,55,3,,,,,21 Jui 2003
Argentina,France,33,32,,,,,20 Jui 2003
South Africa,Scotland,28,19,,,,,14 Jui 2003
New Zealand,England,13,15,,,,,14 Jui 2003
Australia,Wales,30,10,,,,,14 Jui 2003
Argentina,France,10,6,,,,,14 Jui 2003
South Africa,Scotland,29,25,,,,,7 Jui 2003
Australia,Ireland,45,16,,,,,7 Jui 2003
Ireland,England,6,42,,,,,30 Mar 2003
Scotland,Italy,33,25,,,,,29 Mar 2003
France,Wales,33,5,,,,,29 Mar 2003
Italy,France,27,53,,,,,23 Mar 2003
Wales,Ireland,24,25,,,,,22 Mar 2003
England,Scotland,40,9,,,,,22 Mar 2003
England,Italy,40,5,,,,,9 Mar 2003
Scotland,Wales,30,22,,,,,8 Mar 2003
Ireland,France,15,12,,,,,8 Mar 2003
France,Scotland,38,3,,,,,23 Fev 2003
Italy,Ireland,13,37,,,,,22 Fev 2003
Wales,England,9,26,,,,,22 Fev 2003
Scotland,Ireland,6,36,,,,,16 Fev 2003
Italy,Wales,30,22,,,,,15 Fev 2003
England,France,25,17,,,,,15 Fev 2003
Wales,New Zealand,17,43,,,,,23 Nov 2002
Italy,Australia,3,34,,,,,23 Nov 2002
Ireland,Argentina,16,7,,,,,23 Nov 2002
England,South Africa,53,3,,,,,23 Nov 2002
Italy,Argentina,6,38,,,,,16 Nov 2002
England,Australia,32,31,,,,,16 Nov 2002
France,New Zealand,20,20,,,,,16 Nov 2002
Scotland,South Africa,21,6,,,,,16 Nov 2002
England,New Zealand,31,28,,,,,9 Nov 2002
France,South Africa,30,10,,,,,9 Nov 2002
Ireland,Australia,18,9,,,,,9 Nov 2002
Argentina,Australia,6,17,,,,,2 Nov 2002
South Africa,Australia,33,31,,,,,17 Aou 2002
South Africa,New Zealand,23,30,,,,,10 Aou 2002
Australia,New Zealand,16,14,,,,,3 Aou 2002
Australia,South Africa,38,27,,,,,27 Jul 2002
New Zealand,South Africa,41,20,,,,,20 Jul 2002
New Zealand,Australia,12,6,,,,,13 Jul 2002
South Africa,Argentina,49,29,,,,,29 Jui 2002
Australia,France,31,25,,,,,29 Jui 2002
Argentina,England,18,26,,,,,22 Jui 2002
Australia,France,29,17,,,,,22 Jui 2002
New Zealand,Ireland,40,8,,,,,22 Jui 2002
Argentina,France,28,27,,,,,15 Jui 2002
South Africa,Wales,19,8,,,,,15 Jui 2002
New Zealand,Ireland,15,6,,,,,15 Jui 2002
South Africa,Wales,34,19,,,,,8 Jui 2002
New Zealand,Italy,64,10,,,,,8 Jui 2002
Italy,England,9,45,,,,,7 Avr 2002
Wales,Scotland,22,27,,,,,6 Avr 2002
France,Ireland,44,5,,,,,6 Avr 2002
Ireland,Italy,32,17,,,,,23 Mar 2002
England,Wales,50,10,,,,,23 Mar 2002
Scotland,France,10,22,,,,,22 Mar 2002
Ireland,Scotland,43,22,,,,,2 Mar 2002
Wales,Italy,44,20,,,,,2 Mar 2002
France,England,20,15,,,,,2 Mar 2002
Wales,France,33,37,,,,,16 Fev 2002
Italy,Scotland,12,29,,,,,16 Fev 2002
England,Ireland,45,11,,,,,16 Fev 2002
Ireland,Wales,54,10,,,,,3 Fev 2002
Scotland,England,3,29,,,,,2 Fev 2002
France,Italy,33,12,,,,,2 Fev 2002
Argentina,New Zealand,20,24,,,,,1  2001
Wales,Australia,13,21,,,,,25 Nov 2001
Scotland,New Zealand,6,37,,,,,24 Nov 2001
England,South Africa,29,9,,,,,24 Nov 2001
Scotland,Argentina,16,25,,,,,18 Nov 2001
Italy,South Africa,26,54,,,,,17 Nov 2001
Ireland,New Zealand,29,40,,,,,17 Nov 2001
France,Australia,14,13,,,,,17 Nov 2001
Wales,Argentina,16,30,,,,,10 Nov 2001
England,Australia,21,15,,,,,10 Nov 2001
France,South Africa,20,10,,,,,10 Nov 2001
Ireland,England,20,14,,,,,20 Oct 2001
Wales,Ireland,6,36,,,,,13 Oct 2001
Scotland,Ireland,32,10,,,,,22 Sep 2001
Australia,New Zealand,29,26,,,,,1 Sep 2001
New Zealand,South Africa,26,15,,,,,25 Aou 2001
Australia,South Africa,14,14,,,,,18 Aou 2001
New Zealand,Australia,15,23,,,,,11 Aou 2001
South Africa,Australia,20,15,,,,,28 Jul 2001
South Africa,New Zealand,3,12,,,,,21 Jul 2001
Argentina,Italy,38,17,,,,,14 Jul 2001
South Africa,Italy,60,14,,,,,30 Jui 2001
New Zealand,France,37,12,,,,,30 Jui 2001
New Zealand,Argentina,67,19,,,,,23 Jui 2001
South Africa,France,20,15,,,,,23 Jui 2001
South Africa,France,23,32,,,,,16 Jui 2001
Italy,Wales,23,33,,,,,8 Avr 2001
England,France,48,19,,,,,7 Avr 2001
